store,websites,sku,fitguide,description
"store_us,global_m_sv","app_us,global_m_web",RSRW030XL,size chart 1,"This net saree is adorned with cutwork patterns and pink panel at the border. It includes a matching petticoat. It comes with a hot pink blouse featuring scooped neckline with crystals and sequins and sleeves with cutwork. Hidden zip at the side.<ul><li>Color: Tan, Pink</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW030,size chart 1,"This net saree is adorned with cutwork patterns and pink panel at the border. It includes a matching petticoat. It comes with a hot pink blouse featuring scooped neckline with crystals and sequins and sleeves with cutwork. Hidden zip at the side.<ul><li>Color: Tan, Pink</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW027XS,size chart 1,"This net grey saree showcases floral-embroidered motif with crystals and pearls on the pallu and at the border. It includes a baby pink petticoat. It comes with a silver blouse adorned with sequins, crystals and bugle beads at the border. Hidden zip at the side.<ul><li>Color: Silver, Pink, Grey</li><li>Measurement (inches): Blouse Length - 13.5"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW027S,size chart 1,"This net grey saree showcases floral-embroidered motif with crystals and pearls on the pallu and at the border. It includes a baby pink petticoat. It comes with a silver blouse adorned with sequins, crystals and bugle beads at the border. Hidden zip at the side.<ul><li>Color: Silver, Pink, Grey</li><li>Measurement (inches): Blouse Length - 13.5"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW027M,size chart 1,"This net grey saree showcases floral-embroidered motif with crystals and pearls on the pallu and at the border. It includes a baby pink petticoat. It comes with a silver blouse adorned with sequins, crystals and bugle beads at the border. Hidden zip at the side.<ul><li>Color: Silver, Pink, Grey</li><li>Measurement (inches): Blouse Length - 13.5"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW027L,size chart 1,"This net grey saree showcases floral-embroidered motif with crystals and pearls on the pallu and at the border. It includes a baby pink petticoat. It comes with a silver blouse adorned with sequins, crystals and bugle beads at the border. Hidden zip at the side.<ul><li>Color: Silver, Pink, Grey</li><li>Measurement (inches): Blouse Length - 13.5"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW027XL,size chart 1,"This net grey saree showcases floral-embroidered motif with crystals and pearls on the pallu and at the border. It includes a baby pink petticoat. It comes with a silver blouse adorned with sequins, crystals and bugle beads at the border. Hidden zip at the side.<ul><li>Color: Silver, Pink, Grey</li><li>Measurement (inches): Blouse Length - 13.5"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW027,size chart 1,"This net grey saree showcases floral-embroidered motif with crystals and pearls on the pallu and at the border. It includes a baby pink petticoat. It comes with a silver blouse adorned with sequins, crystals and bugle beads at the border. Hidden zip at the side.<ul><li>Color: Silver, Pink, Grey</li><li>Measurement (inches): Blouse Length - 13.5"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW024XS,size chart 1,"This shaded net saree is adorned with crystals all over and floral patterns with crystals and pearls at the border. It includes a cream & golden shaded petticoat. It comes with a cream blouse embellished with crystals, pearls and metallic threadwork. Hidden zip at the side.<ul><li>Color: Cream, Yellow, Golden</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW024S,size chart 1,"This shaded net saree is adorned with crystals all over and floral patterns with crystals and pearls at the border. It includes a cream & golden shaded petticoat. It comes with a cream blouse embellished with crystals, pearls and metallic threadwork. Hidden zip at the side.<ul><li>Color: Cream, Yellow, Golden</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
