store,websites,Parent,sku,attribute_set,type,description,tab_sizing,qty
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2022PUR,SH2022PURM,Default,simple,"Purple halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Purple</li><li>Made to Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2022PUR,SH2022PURL,Default,simple,"Purple halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Purple</li><li>Made to Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2022PUR,SH2022PURXL,Default,simple,"Purple halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Purple</li><li>Made to Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2022PUR,SH2022PUR,Default,configurable,"Purple halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Purple</li><li>Made to Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",0
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2136ORA,SH2136ORAS,Default,simple,"Burnt orange net anarkali embellished with crystals at the yoke. Metallic thread pattern & lurex panel at the border. It comes with a matching lycra churidar & net dupatta.<ul><li>Color: Orange</li><li>Made to Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2136ORA,SH2136ORAM,Default,simple,"Burnt orange net anarkali embellished with crystals at the yoke. Metallic thread pattern & lurex panel at the border. It comes with a matching lycra churidar & net dupatta.<ul><li>Color: Orange</li><li>Made to Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2136ORA,SH2136ORAL,Default,simple,"Burnt orange net anarkali embellished with crystals at the yoke. Metallic thread pattern & lurex panel at the border. It comes with a matching lycra churidar & net dupatta.<ul><li>Color: Orange</li><li>Made to Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2136ORA,SH2136ORAXL,Default,simple,"Burnt orange net anarkali embellished with crystals at the yoke. Metallic thread pattern & lurex panel at the border. It comes with a matching lycra churidar & net dupatta.<ul><li>Color: Orange</li><li>Made to Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2136ORA,SH2136ORA,Default,configurable,"Burnt orange net anarkali embellished with crystals at the yoke. Metallic thread pattern & lurex panel at the border. It comes with a matching lycra churidar & net dupatta.<ul><li>Color: Orange</li><li>Made to Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",0
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2142BLU,SH2142BLUS,Default,simple,"Light blue net anarkali adorned with pearls, sequins, beige thread embroidery and gota border. It comes with a lycra churidar and net dupatta.<ul><li>Color: Light Blue</li><li>Made to Color Option: Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",5
